,review,prediction
1,"['nice', 'small', 'little', 'dock', 'two', 'controller', 'plugged', 'no', 'controller', 'light', 'came', 'green', 'not', 'discouraged', 'plugged', 'controller', 'hoping', 'see', 'turn', 'red', 'didnt', 'happen', 'powered', 'one', 'controller', 'dock', 'battery', 'indicator', 'not', 'blinking', 'indicating', 'charing', 'unplugged', 'usb', 'base', 'bad', 'plugged', 'controller', 'self', 'low', 'behold', 'charge', 'try', 'dock', 'nothing', 'would', 'company', 'continue', 'make', 'something', 'know', 'not', 'work', 'extremely', 'disappointed', 'wasted', 'young', 'nephew', 'xmas', 'gift', 'proud', 'give', 'dollar', 'amazon', 'gift', 'card', 'worked', 'chore', 'neighbor']",1
5,"['perfecto', 'funciona', 'al', 'bastante', 'entretenido']",1
7,"['affordable', 'webcam', 'sold', 'almost', 'everyone', 'stuck', 'home', 'work', 'attend', 'school', 'online', 'well', 'little', 'action', 'camera', 'hooked', 'right', 'pc', 'good', 'go', 'microphone', 'work', 'live', 'camera', 'recording', 'headphone', 'mic', 'come', 'ton', 'mount', 'option', 'make', 'action', 'movie', 'social', 'distance', 'wish', 'came', 'micro', 'sd', 'card']",1
14,"['love', 'backlit', 'keyboard', 'good', 'speed', 'web', 'surfing', 'basic', 'work', 'hold', 'charge', 'long', 'others']",1
18,"['stopped', 'working', 'couple', 'month']",1
59,"['thought', 'great', 'deal', 'especially', 'college', 'student']",1
67,"['grandson', 'love', 'take', 'school', 'well', 'play', 'bus', 'friend', 'house', 'play', 'tv', 'screen']",1
68,"['shipping', 'fast', 'great', 'product', 'would', 'buy']",1
72,"['sound', 'good', 'work', 'great']",1
74,"['bought', 'got', 'good', 'one', 'buy', 'cell', 'store', 'piece', 'mine', 'couple', 'month', 'no', 'scratch', 'no', 'glare', 'not', 'popping', 'anywhere', 'screen']",1
75,"['use', 'connect', 'macbook', 'projector', 'system', 'tv', 'worked', 'great']",1
78,"['excited', 'got', 'well', 'excitement', 'quickly', 'turned', 'frustration', 'tried', 'install', 'get', 'running', 'never', 'connected', 'cord', 'looked', 'ridiculous', 'messy', 'said', 'returning', 'mom', 'life', 'got', 'best', 'missed', 'return', 'window', 'might', 'well', 'flushed', 'pathetic', 'attempt', 'amazon']",1
87,"['sure', 'expect', 'knew', 'fire', 'stick', 'got', 'channel', 'service', 'roku', 'hesitant', 'love', 'roku', 'decided', 'could', 'device', 'set', 'set', 'began', 'using', 'much', 'turned', 'roku', 'since', 'voice', 'control', 'ability', 'say', 'thing', 'like', 'alexa', 'search', 'youtube', 'pink', 'floyd', 'awesome', 'got', 'service', 'channel', 'wanted', 'except', 'roku', 'channel', 'obviously', 'wonderful', 'mention', 'run', 'roku', 'review', 'page', 'facebook', 'someone', 'know', 'use', 'roku', 'correctly']",1
91,"['ordered', 'show', 'use', 'kitchen', 'set', 'always', 'show', 'time', 'temp', 'rotating', 'topic', 'never', 'use', 'recipe', 'book', 'use', 'recipe', 'pinterest', 'ipad', 'show', 'bring', 'recipe', 'rarely', 'one', 'want', 'find', 'recipe', 'like', 'save', 'however', 'need', 'call', 'recipe', 'go', 'thru', 'looked', 'favorite', 'pinterest', 'found', 'website', 'asked', 'alexa', 'access', 'disappointing']",1
120,"['update', 'amazon', 'unable', 'provide', 'valid', 'tozo', 'contact', 'info', 'thus', 'making', 'impossible', 'file', 'warranty', 'unusable', 'product', 'used', 'since', 'kept', 'falling', 'small', 'ear', 'put', 'aside', 'month', 'decided', 'try', 'attempted', 'charge', 'ala', 'not', 'charge', 'although', 'appears', 'illumination', 'case', 'charging', 'frustrating', 'since', 'no', 'longer', 'returnable', 'waste']",1
