comment,stars,verified,date,country,helpful,has-media
We have a small house and didn’t need a 5.1 system for better sound.We have a TCL 55” 4K set and plugged this into the HDMI/ARC port on the TV.  This allowed the TV remote to control the volume.  The remote included with the sound bar is only used to switch between the Movie and News modes when we’re not watching something that needs to be loud.,5,1,2020-2-18,1,1,0
"1. Has 2 red, & a white, a green, and a a blue array of status lights.  They ware way too small and way to dim to be seen when viewing the tv.  One must walk right up to the device in a dimly lit room to really see what is going on.  The rule for lights to be noticed but not intrusive or distracting is that they must be very bright, very small, and must shine out from the bottom of a black pit, like a locomotive about to emerge from a railroad tunnel.2. The remote is way, way too small to be handy; fine for Barbie & Ken, but not for the rest of us.  Requires 2 hands to use the bottom row of buttons.  Also it gets lost on my messy coffee table. Similar in size for the remote to my outdoor security light, but that one is OK as I use it maybe once a month; this one gets used a lot in one evening; controls volume, muting, mode, on/off, etc.  Again, the rule for remotes for this duty cycle is that they be no smaller than a ROKU remote.  Also the projected beam is very, very narrow.  Barbie & Ken will need a 4 power rifle telescopic sight to aim it properly.",3,1,2020-9-19,1,0,0
"I purchased the Alto 7 2.0 with built in subwoofer TS7000 for my TCL - 43""  4K UHD TV model 43S525 using the HDMI ARC output connector. It was very easy to setup and program to my TCL Remote and my Cox Cable remote by enabling the CEC Control instruction in the manual. The Sound difference is major under the movie mode while watching the football game it was just like being there. I would HIGHTLY RECOMMEND buying only a TCL Alto soundbar for your TCL 4K UHD TV. I did try a non TCL brand soundbar and I had to return it due to either no sound and so difficult to set up",5,1,2019-11-4,1,2,0
"I own 2 TCL smart TVs and have loved them since day 1, with the weakest part of them being their built in speakers. When I saw TCL made a sound bar with wireless subwoofer, I had to try it out. So far I am loving the set. Setup and install was super fast. Just unpack and plug in via the included HDMI cord and the HDMI Arc and you are ready to rock and roll. I love that my original TCL Roku remote controls the volume on the sound bar so unless I want to switch the audio mode, no need for the included remote. I have also connected my phone via bluetooth and that worked perfectly as well. In terms of audio performance, I'm no audiophile, but this thing delivers. Our living room is a decent size and the sound and volume output is great. For the price, I am super satisfied and would recommend this to anyone looking for a simple plug and play sound bar to upgrade their stock tv speakers. Is this a Bose surround sound system, no, but does it sound great and provide good quality for an amazing price, heck yeah!!",5,1,2020-9-12,1,0,0
"I Purchased the TCL Alto 7 without the separate subwoofer. I have this connected through HDMI ARC on my TCL Roku TV. I knew that because this only had a built-in subwoofer, lows weren't going to be amazing, but that's not my complaint. For the first time for any speaker I've purchased, the highs are basically non-existent. It's like this sound bar can only produce mids. Vocals sound muffled and overall sound is comparable to some built-in TV speakers. Yes, this is an upgrade over my TCL TV speakers, but you could get better highs out of $10 speakers. This soundbar is absolutely not worth $80.I've tried the 3 different equalizer presets and I don't hear much of a difference.",2,1,2020-9-6,1,1,0
We had to move our stereo that the TV was hooked up to so I got this sound bar. Its mounted on the wall under the TV so I didn't want a wired sub-woofer. The Sub-woofer sits under a chair. While its not a booming surround sound it gives a much richer sound then the TV but itself and has some nice bass that you won't get from just a soundbar. Plus I like that it goes to sleep then automatically turns on when sound goes into it.,5,1,2019-11-13,1,2,0
I had a professional installer with 29 yrs of experience try to set this up for me. What should have been a 20 minute job to mount and install ended up taking him 45 -60 minutes and he still could not get it to work with the TCL TV I have.  TCL customer service is an absolute joke. They are difficult to understand and they repeat themselves over and over. The installer packed it back in the box for me and I plan to return ASAP,1,1,2020-3-14,1,2,0
"I bought this soundbar to use with a TCL 43S425 TV. It does block the TV's remote sensor, but comes with an IR passthrough cable so that is a non-issue. The soundbar works well enough as all I really wanted was front-facing sound. My father uses the TV and is starting to have hearing issues so I wanted the sound playing toward him to prevent him from turning the volume up on the rear-facing TV speakers all the time.The only thing I couldn't figure out is if the soundbar could be used with bluetooth headphones. The instructions are not very clear on bluetooth functionality. It seems the only way to connect via bluetooth (other than the wireless subwoofer which connects automatically) is by connecting from another device like a smartphone. I don't know how well or if it would work at all to connect both the soundbar and wireless headphones via bluetooth as I just don't want to get into anything that complicated.",4,1,2020-6-26,1,0,0
"This unit does not seem to cooperate with our Sony smart TV using the HDMI ARC connection. It will play sound after a series of turning on and off to convince the TV it is connected and on, but every time the TV is turned off and we come back to it, we have to go through the same routine of turning on and off multiple times to get the TV to switch from internal to external speaker mode. We will attempt another connection method to see it it resolves the issue, but wasn’t necessary with our last, Vizio unit connected in the same way (soundbar issue, not a TV issue).",3,1,2019-12-23,1,1,0
"Bought one of these only a few months ago. From the beginning, I would sometimes inexplicably have issues with playing music from my iPad via Bluetooth. Sometimes the music would be horribly garbled. There was no apparent rhyme or reason—putting the iPad right next to it didn’t help.Things went downhill from there. Every so often, the subwoofer would get out of sync and create an echo. I would have to unplug and plug back in to fix, sometimes multiple times.",1,1,2020-9-9,1,1,0
