,review,stars
18,"['update', 'computer', 'fried', 'simply', 'NOT_boot', 'anymore', 'update', 'volume', 'stopped', 'working', 'year', 'later', 'big', 'red', 'volume', 'icon', 'troubleshoot', 'issue', 'say', 'fixed', 'online', 'video', 'stop', 'loading', 'either', 'watch', 'video', 'without', 'sound', 'NOT_watch', 'called', 'acer', 'customer', 'service', 'receive', 'robot', 'voice', 'describing', 'special', 'offer', 'product', 'may', 'like', 'purchase', 'decline', 'offer', 'im', 'going', 'buy', 'another', 'one', 'product', 'ever', 'disconnect', 'line', 'buyer', 'beware', 'far', 'ive', 'returned', 'product', 'already', 'faulty', 'technology', 'experiencing', 'similar', 'issue', 'year', 'later', 'warranty', 'expired', 'go', 'figure']",2
34,"['ive', 'using', 'acer', 'laptop', 'decade', 'fact', 'im', 'still', 'using', 'acer', 'laptop', 'thats', 'year', 'old', 'acer', 'build', 'great', 'laptop', 'rate', 'acer', 'two', 'star', 'acer', 'boxed', 'window', 'worst', 'operating', 'system', 'planet', 'win', 'plagued', 'security', 'issue', 'every', 'update', 'microsofts', 'grossly', 'overpaid', 'geek', 'NOT_seem', 'remedy', 'situation', 'decided', 'switch', 'window', 'running', 'acer', 'fine', 'even', 'dumping', 'window', 'altogether', 'installing', 'linux', 'second', 'operating', 'system', 'dual', 'boot', 'configuration']",2
44,"['result', 'shelter', 'place', 'initiative', 'bought', 'two', 'laptop', 'march', 'kid', 'use', 'part', 'virtual', 'education', 'zoom', 'regular', 'need', 'removed', 'window', 'installed', 'chrome', 'internet', 'browser', 'followed', 'window', 'o', 'update', 'everything', 'humming', 'along']",2
52,"['initially', 'loved', 'laptop', 'would', 'give', 'star', 'maybe', 'price', 'start', 'immediately', 'NOT_wait', 'time', 'super', 'fast', 'response', 'web', 'browsing', 'gripe', 'sound', 'awful', 'mean', 'bad', 'barely', 'hear', 'anything', 'time', 'whats', 'worse', 'searching', 'enhancement', 'equalization', 'control', 'finding', 'none', 'wasted', 'minute', 'waiting', 'acer', 'tech', 'support', 'find', 'updated', 'version', 'window', 'NOT_longer', 'offer', 'enhancement', 'equalization', 'feature', 'techie', 'tell', 'first', 'speaker', 'watt', 'corrected', 'said', 'speaker', 'two', 'watt', 'want', 'purchase', 'external', 'speaker', 'keep', 'hooked', 'tv', 'use', 'ear', 'plug', 'time', 'maybe', 'computer', 'otherwise', 'computer', 'good', 'totally', 'deaf', 'cheap', 'phone', 'better', 'speaker', 'thing', 'im', 'NOT_even', 'talking', 'sound', 'quality', 'mean', 'hearing', 'general', 'come', 'acer', 'totally', 'blow', 'speaker', 'barely', 'speak']",2
60,"['laptop', 'received', 'review', 'opened', 'prior', 'actually', 'opening', 'NOT_know', 'return', 'something', 'tested', 'anyways', 'based', 'normal', 'use', 'say', 'ok', 'exception', 'weird', 'glitching', 'laptop', 'screen', 'momentarily', 'turn', 'black', 'happened', 'around', 'three', 'time', 'already', 'using', 'browsing', 'video', 'watching', 'couple', 'day', 'use', 'already', 'happening', 'something', 'wrong', 'NOT_techie', 'NOT_know', 'usual', 'troubleshooting', 'turn', 'NOT_fix', 'problem', 'beside', 'screen', 'really', 'nice', 'look', 'bezel', 'thin', 'make', 'viewing', 'show', 'wonderful', 'screen', 'matte', 'glassy', 'find', 'prefer', 'compared', 'glossy', 'screen', 'asus', 'performs', 'way', 'better', 'acer', 'one', 'without', 'question', 'since', 'mine', 'super', 'expensive', 'keyboard', 'easy', 'type', 'layout', 'useful', 'enough', 'space', 'put', 'full', 'number', 'pad', 'right', 'power', 'button', 'threw', 'NOT_at', 'side', 'laptop', 'found', 'keyboard', 'upper', 'right', 'lasting', 'capability', 'around', 'hour', 'continuous', 'usage', 'battery', 'life', 'really', 'dependent', 'individual']",2
90,"['window', 'hate', 'registered', 'laptop', 'thru', 'm', 'turned', 'mode', 'feature', 'laptop', 'prefer', 'firefox', 'chrome', 'browser', 'NOT_edge', 'monitor', 'good', 'picture', 'quality', 'horrible', 'sound', 'quality', 'NOT_sd', 'card', 'reader', 'dvd', 'cd', 'burner', 'buy', 'external', 'unit', 'laptop', 'acer', 'deleted', 'dvd', 'cd', 'burner', 'unit', 'device', 'beyond', 'since', 'rather', 'thin', 'nature', 'laptop', 'anyways', 'lit', 'keyboard', 'stay', 'lit', 'maybe', 'second', 'interesting', 'feature', 'wished', 'stayed', 'lit', 'time', 'need', 'least', 'usb', 'port', 'gb', 'solid', 'state', 'hd', 'make', 'speedy', 'power', 'gb', 'memory', 'order', 'gb', 'memory', 'device', 'disgusting', 'called', 'new', 'laptop', 'acer', 'nd', 'hard', 'drive', 'slot', 'small', 'shallow', 'fit', 'laptop', 'mechanical', 'solid', 'state', 'hard', 'drive', 'contact', 'laptop', 'nd', 'hard', 'drive', 'NOT_meet', 'thus', 'NOT_install', 'nd', 'hard', 'drive', 'device', 'use', 'external', 'hard', 'drive', 'via', 'one', 'usb', 'port', 'put', 'music', 'video', 'since', 'built', 'hard', 'drive', 'thing', 'gb', 'also', 'use', 'another', 'usb', 'port', 'external', 'digital', 'camera', 'card', 'reader', 'order', 'well', 'course', 'use', 'external', 'mouse', 'meaning', 'used', 'third', 'final', 'usb', 'port', 'laptop', 'NOT_sure', 'acer', 'hp', 'brand', 'NOT_add', 'usb', 'port', 'lower', 'priced', 'laptop', 'NOT_cost', 'add', 'usb', 'port', 'even', 'slower', 'usb', 'port']",2
91,"['bought', 'laptop', 'use', 'learn', 'code', 'go', 'quality', 'mouse', 'pad', 'poor', 'going', 'return', 'coding', 'frequently', 'move', 'mouse', 'highlight', 'specific', 'piece', 'text', 'sort', 'edit', 'code', 'unfortunately', 'mousepad', 'laptop', 'NOT_accurate', 'precise', 'trying', 'make', 'fine', 'movement', 'mousepad', 'mouse', 'move', 'small', 'skip', 'instead', 'smooth', 'consistent', 'glide', 'make', 'impossible', 'move', 'mouse', 'quickly', 'precisely', 'trying', 'execute', 'precise', 'movement', 'slow', 'course', 'correct', 'several', 'time', 'get', 'mouse', 'close', 'want', 'go', 'instead', 'able', 'quickly', 'move', 'mouse', 'precise', 'location', 'intend', 'lack', 'precision', 'frustrating', 'make', 'user', 'experience', 'slow', 'going', 'return', 'purchase', 'laptop', 'least', 'year', 'consistent', 'use', 'NOT_want', 'endure', 'kind', 'frustration', 'every', 'single', 'day', 'im', 'trying', 'give', 'attention', 'towards', 'building', 'technical', 'skill', 'appreciate', 'speed', 'accuracy', 'mousepad', 'like', 'mac', 'laptop', 'youve', 'ever', 'used', 'one', 'nothing', 'crazy', 'smooth', 'controllable', 'motion', 'follows', 'input', 'perfectly', 'would', 'advise', 'NOT_to', 'get', 'laptop', 'think', 'could', 'frustrated', 'user', 'experience', 'final', 'note', 'laptop', 'also', 'issue', 'running', 'ubuntu', 'whenever', 'closed', 'lid', 'laptop', 'would', 'suspend', 'totally', 'expected', 'suspend', 'mean', 'sleep', 'linux', 'whenever', 'reopened', 'lid', 'laptop', 'would', 'NOT_resume', 'turn', 'back', 'would', 'force', 'shut', 'restart', 'every', 'single', 'time', 'could', 'NOT_find', 'solution', 'issue', 'scouring', 'internet', 'trying', 'bunch', 'different', 'fix', 'hour', 'linux', 'distribution', 'small', 'issue', 'certain', 'laptop', 'whatever', 'reason', 'ubuntu', 'laptop', 'NOT_work', 'well', 'together', 'issue', 'also', 'frustrating', 'made', 'diminished', 'user', 'experience', 'although', 'may', 'able', 'find', 'another', 'distribution', 'would', 'worked', 'laptop', 'reason', 'much', 'mainly', 'first', 'reason', 'mousepad', 'returning', 'laptop', 'NOT_want', 'deal', 'issue', 'like', 'year', 'rather', 'spend', 'little', 'money', 'hope', 'helpful']",2
114,"['initially', 'set', 'everything', 'pretty', 'pleased', 'purchase', 'little', 'month', 'really', 'used', 'time', 'month', 'screen', 'went', 'black', 'back', 'light', 'keyboard', 'still', 'figured', 'needed', 'charged', 'left', 'plugged', 'hour', 'checked', 'still', 'lit', 'key', 'NOT_screen', 'changed', 'different', 'outlet', 'left', 'charge', 'came', 'back', 'thing', 'tried', 'following', 'support', 'suggestion', 'resetting', 'battery', 'using', 'tiny', 'button', 'back', 'made', 'NOT_difference', 'never', 'took', 'mode', 'never', 'even', 'downloaded', 'apps', 'installed', 'program', 'basically', 'checked', 'email', 'time', 'plug', 'nothing', 'light', 'adapter', 'charger', 'NOT_have', 'indicator', 'light', 'show', 'working', 'could', 'faulty', 'power', 'cord', 'im', 'going', 'attempt', 'call', 'customer', 'support', 'line', 'see', 'provide', 'answer', 'case', 'brand', 'new', 'device', 'last', 'longer', 'month']",2
129,"['im', 'NOT_sure', 'whether', 'mine', 'defective', 'basic', 'desktop', 'activity', 'internet', 'browsing', 'fine', 'start', 'watching', 'video', 'example', 'fan', 'kick', 'pretty', 'loud', 'loaded', 'league', 'legend', 'lowest', 'setting', 'minute', 'match', 'whole', 'thing', 'shuts', 'consistent', 'behavior', 'happens', 'time']",2
148,"['bought', 'december', 'computer', 'may', 'month', 'later', 'NOT_longer', 'hold', 'charge', 'ordered', 'new', 'charger', 'see', 'problem', 'see', 'review', 'made', 'think', 'great', 'value', 'socket', 'item', 'NOT_wiggly', 'anything', 'computer', 'NOT_longer', 'charge']",2
