,review,prediction
29,"['easy', 'configure', 'old', 'truck', 'without', 'bluetooth', 'however', 'used', 'echo', 'auto', 'output', 'port', 'bluetooth', 'fm', 'transmitter', 'get', 'audio', 'work', 'speaker']",3
105,"['bought', 'two', 'wyze', 'cam', 'hd', 'indoor', 'camera', 'using', 'several', 'month', 'without', 'major', 'issue', 'new', 'feature', 'frequently', 'added', 'nothing', 'else', 'come', 'close', 'providing', 'value', 'price', 'point', 'u', 'company', 'american', 'programmer', 'hardware', 'chinese', 'identical', 'used', 'camera', 'sold', 'different', 'company', 'inside', 'outside', 'china', 'important', 'put', 'trust', 'privacy', 'protection']",3
139,"['love', 'switch', 'saved', 'pretty', 'awful', 'thing']",3
165,"['echo', 'show', 'month', 'used', 'replace', 'rd', 'gen', 'echo', 'dot', 'must', 'say', 'far', 'voice', 'recognition', 'sound', 'quality', 'echo', 'dot', 'much', 'better', 'show', 'seem', 'hear', 'range', 'sometimes', 'foot', 'away', 'hear', 'dot', 'ft', 'away', 'screen', 'decent', 'except', 'always', 'putting', 'stuff', 'screen', 'want', 'want', 'telling', 'try', 'bottom', 'time', 'also', 'need', 'see', 'score', 'last', 'night', 'game', 'day', 'long', 'maybe', 'give', 'option', 'acknowledge', 'see', 'score', 'tapping']",3
166,"['happy', 'sound']",3
167,"['came', 'hardware', 'match', 'television', 'came', 'level', 'hdmi', 'cable']",3
180,"['use', 'live', 'racing', 'video', 'track', 'work', 'good']",3
185,"['getting', 'hot', 'every', 'time', 'turned', 'update', 'received', 'replacement', 'product', 'another', 'action', 'cam', 'sound', 'video', 'good', 'one', 'great', 'clear', 'sound', 'recording', 'video', 'clip', 'seems', 'like', 'not', 'hot', 'like', 'previous', 'one', 'far', 'see', 'go', 'far', 'working', 'great', 'thanks', 'replacement']",3
211,"['easy', 'set', 'work', 'great']",3
349,"['great', 'sounding', 'waterproof', 'bluetooth', 'speaker', 'use', 'phone', 'anything', 'bluetooth', 'plug', 'sound', 'source', 'give', 'great', 'loud', 'sound', 'small', 'ez', 'pack', 'package', 'new', 'model', 'came', 'discounted', 'find', 'highly', 'recommended']",3
385,"['get', 'price', 'always', 'plus', 'nice', 'height', 'maneuverability', 'husband', 'like', 'alot', 'waiting', 'till', 'buy', 'remote', 'motorized', 'pan', 'head', 'post', 'review', 'worked', 'good', 'buy', 'price', 'point']",3
403,"['perfect', 'personally', 'think', 'better', 'past', 'generation', 'noise', 'cancellation', 'transparency', 'mode', 'really', 'thing', 'beauty', 'people', 'saying', 'recieved', 'product', 'used', 'outrageous', 'truthfully', 'extremely', 'skeptical', 'still', 'went', 'ahead', 'purchased', 'came', 'plastic', 'brand', 'new', 'glad', 'purchased', 'awesome', 'would', 'definitely', 'recommend']",3
413,"['really', 'want', 'love', 'love', 'camera', 'thing', 'get', 'great', 'price', 'though', 'connect', 'network', 'broadcasting', 'dual', 'must', 'either', 'plugged', 'router', 'connected', 'network', 'know', 'mean', 'find', 'modify', 'wifi', 'network', 'buying', 'otherwise', 'useless']",3
421,"['ease', 'installation', 'direction', 'well', 'written', 'mount', 'level', 'mounted', 'tv', 'tv', 'not', 'level', 'adjust', 'placing', 'something', 'one', 'hook', 'level', 'not', 'sure', 'tv', 'not', 'level', 'mount', 'perhaps', 'hook', 'machined', 'even', 'maybe', 'support', 'attach', 'tv', 'even', 'sturdy', 'mount', 'great', 'price']",3
714,"['echo', 'car', 'little', 'fussy', 'install', 'hardware', 'simple', 'clean', 'software', 'seemed', 'little', 'rough', 'around', 'edge', 'managed', 'get', 'going', 'try', 'kept', 'day', 'ebay', 'ed', 'find', 'bt', 'connectivity', 'iphone', 'work', 'better', 'le', 'fiddly', 'one', 'le', 'device', 'keep', 'track', 'fewer', 'cable', 'boondocks', 'live', 'often', 'not', 'enough', 'signal', 'connect', 'device', 'begin', 'bunch', 'echo', 'device', 'use', 'constantly', 'wifi', 'echo', 'auto', 'hardware', 'nice', 'small', 'clean', 'well', 'designed', 'would', 'likely', 'much', 'useful', 'lived', 'area', 'decent', 'cell', 'service']",3
718,"['month', 'burdensome', 'two', 'different', 'brand', 'wireless', 'charger', 'give', 'no', 'problem', 'samsung', 'charger', 'phone', 'positioned', 'right', 'get', 'nothing', 'no', 'forgivenesswith', 'position', 'phone', 'frequently', 'stop', 'charging', 'not', 'block', 'pad']",3
