comment,stars,verified,date,country,helpful,has-media
"I am one to spend 3-4+ hours searching online before I decide on which specific item I want (consider reviews, photos, cost, similar products). I wanted to get lights for above my kitchen cabinets but could not decide if I wanted the classic white or the option to change colors. Naturally no option provided both. I was afraid that the RGB light would make my apartment feel like a club or college dorm, but they didn’t ! The strip plugs into a wall outlet and has a remote. This is convenient because I 1) didn’t want to climb on top of my cabinets to turn on/off battery operated lights every time I wanted to use them and 2) they stay plugged in (no fumbling around for cords behind the fridge or other appliances) - at the touch of a button my apartment is transformed. There are several buttons that allow for changing to different colors, changing the brightness of those colors, and setting them to be solid or pulsate with a couple different speeds. The purple is my favorite of them all! They turned out really well, I would suggest this item over and over again!",5,1,2020-4-23,1,8,1
"Much brighter than my cheaper LED strip. The bluetooth control is handy too. I just wish it were USB powered. Did buy a 12V adapter, will see how it is once it gets here.Adapter did NOT work, didn't think it would oh well.",4,1,2020-3-17,1,1,1
These were pretty easy to install and I would 10 out of 10 recommend!,5,1,2020-5-18,1,2,1
"Perfect, good color settings, can go with music, adhesive really strong",5,1,2020-5-7,1,3,1
These bluetooth LED lights from Govee are not a bad option. My thoughts:Pros:,4,1,2020-6-19,1,2,0
Installed the strip above kitchen cabinets. One of the strips stopped working after 3 days and would not connect to Bluetooth app. After checking the strip I found that the transformer had a brown oily substance leaking from it and it smelled like it was burning. Uninstalled immediately.,1,1,2020-4-9,1,5,0
They are great but I thought you could cut them and they would still work! I thought that’s why they were the “cuttable style” and they have cut lines on the strip. So I cut them an now only one piece works. Does anyone know if I ruined them or if I’m doing something wrong?,3,1,2020-4-17,1,6,0
"Received the Wrong product. Ordered Govee lights which advertised Bluetooth capability in the product name online and on the box pictured online. The box I received does not have the Bluetooth logo, as shown in the picture online, nor does it mention Bluetooth capabilities anywhere in the instructions. In fact, the box i received looks completely different than what’s advertised online. Model number conveniently not disclosed on website for this model, but all the other models disclose model number. Definitely got a 6 for a 9.",1,1,2020-5-8,1,3,0
The lights were easy to install and work perfectly. I recommend them.,5,1,2020-4-20,1,6,0
"When I unpackaged the LED strip, I made sure to test it, and all the colors worked fine. However, after installing on my walls, I turned it on to find I was getting no blue light - only red/yellow/green. A connection had come loose during installation, which was a pain, and now I'll have to pull these lights down and probably remove paint in the process. I have a replacement on the way, so if that one works fine, I may update this review.HOWEVER, I'm incredibly disappointed that the app requires LOCATION services. There is absolutely no reason for this app to get my GPS data, and you CAN NOT USE the app without allowing it. Even if my replacement works properly, I will absolutely not be using the app unless the location requirement is removed, so I'm not getting the convenience I was hoping for.",2,1,2020-4-27,1,3,0
"WORTH IT!This product is worth my time to make a review. I was looking for something to amp up my room, I felt like it needed some life... Who knew that what I was missing were some LED lights that could sync up to beats! This product brought so much swagger into my room and now I can't wait to have dance parties or have super chill nights with some wine or hot choc and just listen to chill jams.",5,1,2020-2-18,1,5,0
These lights worked perfect for my guitar collection display. My kids think I went a little overboard. I think they are just jealous.,5,0,2020-1-31,1,2,0
I was suprised when it came in a little box but then I realized that was the exact lights I wanted! I saw a review of someone dancing to the led lights so I bought them! I just vibe with the lights while playing Bts and twice! Stream Bts on!,5,1,2020-3-19,1,1,0
"After my initial order of just one light strip.  I realized how easy, fun and mood enhancing the lights can be.  Needless to say I’m going to order two more which will make me at six.  I also gave one as a gift and I was told it was the best gift.  I recommend following manufacturer directions before installing to ensure the lights work plus all colors light up.  I had to exchange one set because the blue light didn’t work.  Seller honored my exchange without any hesitation. Hint-if you use more than one light of the same type or model, one remote will work on all.",5,1,2019-12-31,1,9,1
Ordered these LEDs to install in the door of my Wineador. LEDs arrived promptly and everything worked as they should except the remote which was broken. I used the my issues page on the Govee app and got a response back on the same day and they shipped me a new one out to replace remote. Talk about great Customer service A+++++. The best I have seen yet.,5,0,2019-11-18,1,1,1
"I bought this as a ""fun"" addition to my kitchen counter. It turns out very nice and has a bunch of features. The controller is great and has Bluetooth connectivity. I wish it has wifi connectivity but that's a higher priced kit.This one is good enough.",5,1,2020-1-13,1,8,0
These are exactly what we were looking for. Plus you can make a “scene” which combines the two strands so they come on simultaneously but not be connected.,5,1,2020-3-4,1,7,1
